Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),4.411764705882355,0.0356919001168044,0.0535378501752066
gut (n=8),right palm (n=6),2.0166666666666657,0.1555803477921939,0.18669641735063267
gut (n=8),tongue (n=9),4.898148148148152,0.026885511853408057,0.0535378501752066
left palm (n=8),right palm (n=6),0.016666666666672825,0.8972789612600641,0.8972789612600641
left palm (n=8),tongue (n=9),10.703703703703695,0.0010692127549193759,0.006415276529516256
right palm (n=6),tongue (n=9),8.0,0.004677734981047276,0.014033204943141827
